Category;ProductNaam;ProductNaamEngels;Eenheid;EenheidGewicht;Energie;Eiwit;Koolhydraat;VetTotaal;VetVerzadigd;VetOnverzadigd;VetzurenTrans;Linolzuur;Cholesterol;Alcohol;Vezels;Na;Ca;Fe;Mg;Se;Zn;K;P;VitamineA;VitamineB1;VitamineB2;VitamineB6;VitamineB12;VitamineC;VitamineD;VitamineE;Foliumzuur;Nicotz;totMdisac;totPdisac;eiwitP;PEiw,,,
Dranken;Siroop limonade- suikervrij;Lemonade, sugar-free syrup;eetlepel punt;15;0;0;0;0;0;0;0;0;0;0;0;100;10;0;;;;80;0;0;0;0;0;0;0;0;;0;0;0;0;0;,,
Dranken;Sourcy bronwater;Sourcy water;glas;150;0;0;0;0;0;0;0;0;0;0;0;1;4;;0;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;,,,
Dranken;Spa bronwater;Spa water;glas;150;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,,,
Dranken;Spa bronwater Na-arm;Spa water after arm;glas;150;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,,,
Dranken;Spontin siroop;Spontin syrup;voor 1 glas;35;246;0;61;0;0;0;0;0;0;0;0;3;5;0.4;2;0;0.02;34;5;0;0;0;0;0;3;0;0;0;0;61.4;0;0;50,,,
Dranken;Sportdrank energie poeder;Energy sports drink powder;gram;1;384;0;96;0;0;0;0;0;0;0;0;250;24;0;12;0;0;63;33;299;0.95;0;0;;48;0;8.4;;0;30;66;0;,,,
Dranken;Sprite;Sprite;glas;150;38;0;10;0;0;0;0;0;0;0;0;5;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;9.6;0;0;,,,
Dranken;Stimulance multivezel vr dr;Dr. Sun Stimulance multi-fiber;pak;200;44;0;10;0;0;0;0;0;0;0;3.5;5;;0.1;10;0;0.03;181;;0;;;;;15;;;20;0;10.4;0;2;,,,
Dranken;Taksi;Taksi;glas;150;49;0;12;0;0;0;0;0;0;0;0.1;17;14;0;3;0;0.02;67;13;0;0;0;0;;15;0;0.1;4;0.2;12.2;0;0;130,,,
Dranken;Tomatengroentensap;Tomatengroentensap;glas;150;20;1;4;0;0;0;0;0;0;0;1;365;13;0.4;9;;;193;21;78;0.05;0.03;0.08;0;8;0;;18;0.5;3;1;4;21,,,
Dranken;Tomatengroentensap Na-;After Tomatengroentensap-;glas;150;20;1;4;0;0;0;0;0;0;0;1;22;19;0.4;;;;261;15;0;0.05;0.03;0.08;0;18;0;;18;0.5;3;1;4;15,,,
Dranken;Tomatensap;Tomato juice;glas;150;13;1;2;0;0;0;0;0;0;0;1;250;13;0.3;10;0;0.12;212;17;22;0.05;0.02;0.08;0;8;0;1.8;13;0.5;2.3;0;4;18.9,,,
Dranken;Tonic;Tonic;glas;150;31;0;8;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.8;0;0;,,,
Dranken;Up drank;Drink up;glas;150;38;0;10;0;0;0;0;0;0;0;0;5;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;9.6;0;0;,,,
Dranken;Vermouth zoet;Sweet Vermouth;portglas cafe;50;150;0;17;0;0;0;0;0;0;12;0;28;6;0.4;6;0;0.03;18;7;0;0;0;0;0;0;0;0;0;0;16.5;0;0;,,,
Dranken;Vieux;Vieux;borrelglas thuis;50;200;0;1;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;,,,
Dranken;Vittel bronwater;Vittel mineral water;glas;150;0;0;0;0;0;0;0;0;0;0;0;0;20;0;4;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;,,,
Dranken;Vlierbessensap;Elderberry juice;glas;150;60;0;15;0;0;0;0;0;0;0;0.4;5;20;2;6;0;0.3;125;12;0;0;0;0;0;30;0;0.8;4;0;15;0;0;,,,
Dranken;Vruchtendrank > 1 vrucht;Fruit Drink> 1 fruit;glas;150;51;0;13;0;0;0;0;0;0;0;0.2;2;11;0.3;7;1;0.07;96;7;6;0.02;0.02;0.03;0;13;0;0.1;6;0.1;12.5;0;2;17.5,,,
Dranken;Vruchtendrank frambozen;Fruit Drink raspberry;glas;150;56;0;14;0;0;0;0;0;0;0;0.4;2;9;3;;;;70;5;0;0;0;0;0;0;0;;10;0;14;0;0;,,,
Dranken;Vruchtendrank rode bessen;Fruit Drink red berries;glas;150;56;0;14;0;0;0;0;0;0;0;0.4;2;7;4;10;0;0.2;80;8;0;0;0;0;0;0;0;0.1;4;0;14;0;0;,,,
Dranken;Vruchtenlimonade;Fruit Lemonade;glas;150;39;0;10;0;0;0;0;0;0;0;0;5;5;0;1;0;0;14;2;0;0;0;0;0;2;0;0;0;0;9.8;0;0;,,,
Dranken;Vruchtenlimonade light;Fruit Lemonade Light;glas;150;4;0;1;0;0;0;0;0;0;0;0;18;;0;;0;0;15;;0;0;0;0;0;7;0;0;0;0;1;0;0;,,,
Dranken;Vruchtenthee zonder suiker;Fruit tea without sugar;kopje;125;0;0;0;0;0;0;0;0;0;0;0;2;5;0;1;0;0.01;8;2;0;0;0;0.02;0;0;0;0;0;0;0;0;0;,,,
Dranken;Water;Water;glas;150;0;0;0;0;0;0;0;0;0;0;0;3;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,,,
Dranken;Water 0-50 mg calcium/liter;Water 0-50 mg of calcium / liter;glas;150;0;0;0;0;0;0;0;0;0;0;0;2;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,,,
Dranken;Water >100 mg calcium/liter;Water> 100 mg calcium / liter;glas;150;0;0;0;0;0;0;0;0;0;0;0;2;13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,,,
Dranken;Water gemiddeld;Average water;glas;150;0;0;0;0;0;0;0;0;0;0;0;2;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,,,
Dranken;Weidrank Taksi;Weidrank Taksi;glas;150;49;0;12;0;0;0;0;0;0;0;0.1;17;14;0;3;0;0.02;67;13;0;0;0;0;;15;0;0.1;4;0.2;12.2;0;0;130,,,
Dranken;Whisky;Whiskey;whiskyglas thuis;50;245;0;0;0;0;0;0;0;0;35;0;0;2;0;0;0;0.01;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,,,
Dranken;Wijn Pleegzusterbloed-;Nursing Sister Blood Wine;wijnglas;100;154;0;14;0;0;0;0;0;0;14;0;10;5;10;10;;;70;12;0;0;0.02;0.02;0;0;0;;0;0.1;14;0;0;,,,
Dranken;Witte wijn droog;Dry white wine;wijnglas;100;67;0;1;0;0;0;0;0;0;9;0;4;12;0.6;8;0;0.04;86;8;0;0;0.01;0.02;0;0;0;0;0;0.1;0.6;0;0;80,,,
Dranken;Wodka;Vodka;whiskyglas thuis;50;245;0;0;0;0;0;0;0;0;35;0;0;2;0;0;0;0.01;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;,,,
Dranken;Wortelsap;Carrot juice;glas;150;27;0;6;0;0;0;0;0;0;0;0;28;17;0.5;8;;0.1;258;42;1.282;0.09;0.06;0.22;0;0;0;;9;0.4;6.4;0;2;105,,,
Dranken;Zuurkoolsap;Sauerkraut;glas;150;7;1;1;0;0;0;0;0;0;0;0;279;35;1.1;9;;0.1;176;;0;;;;0;16;0;;5;;0.7;0.4;3;,,,
Dranken;Zwarte bessendrank;Blackcurrant drink;glas;150;60;0;15;0;0;0;0;0;0;0;0.4;5;20;2;6;0;0.3;125;12;0;0;0;0;0;30;0;0.8;4;0;15;0;0;,,,
Gerechten;Andijvie/aardap/vlees diepvr;Endive / potato / meat freezer;pak;475;71;5;9;2;1;1;;0.2;4;0;1.6;280;17;1;;;;241;49;101;0.34;0.1;0.12;;3;;;;0.2;0.5;8.1;5;9.4,,,
Gerechten;Andijvie/aardap/vlees koelv;Endive / potato / meat koelv;grote lepel;50;99;3;12;4;2;3;;0.3;7;0;2.8;347;28;0.7;;;;351;57;46;0.04;0.13;0.16;;0;;;;0.8;1;10.4;6;17.3,,,
Gerechten;Andijviestamppot mz;Endive stew mz;groentelepel punt;100;58;2;12;0;0;0;0;0;0;0;2.7;400;25;0.6;16;1;0.27;385;51;21;0.08;0.06;0.19;0.03;6;0;0.1;18;0.4;1.1;11;7;24.3,,,
Gerechten;Andijviestamppot zz;Endive stew zz;groentelepel punt;100;58;2;12;0;0;0;0;0;0;0;2.7;11;25;0.6;16;1;0.27;385;51;21;0.08;0.06;0.19;0.03;6;0;0.1;18;0.4;1.1;11;7;24.3,,,
Gerechten;Aubergine gev dolma patli?a;Eggplant dolma patli psych? A;portie;415;64;3;7;3;1;2;;0.4;7;0;2.2;294;11;0.6;;;;146;;;0.02;0.03;0.07;;;;;;;6.9;0;3;,,,
Gerechten;Babi pangang z rijst;Babi z pangang rice;portie;350;276;12;5;23;8;15;0.1;2.8;36;0;0.1;413;11;0.9;17;9;1.35;339;144;42;0.39;0.09;0.19;0.51;1;0.6;0.3;1;3.4;4.6;0.5;1;11.7,,,
Gerechten;Babyvoeding maaltijd 6 mnd;Baby food meal 6 months;portie;150;60;3;8;2;0;2;0;1;;0;2;34;36;0.6;18;2;0.65;249;53;;;;;;3;;;;;1.4;6.1;6;18.9,,,
Gerechten;Babyvoeding maaltijd 8 mnd;Baby food meal 8 months;portie;200;71;4;9;2;0;2;0;0.9;;0;1.9;40;32;0.7;16;3;0.55;241;53;;;;;;2;;;;;1.7;7.6;4;15.1,,,
Gerechten;Babyvoedmaaltijd 12 mnd;Baby Feed Meal 12 months;pot;200;78;3;10;3;1;2;0;0.5;;0;1.7;56;;;;;;;;;;;;;;;;;;1.9;8;4;,,,
Gerechten;Bami goreng blik;Bami Goreng glance;groentelepel punt;60;145;6;19;5;1;4;2.6;0;10;0;1;450;25;2;;;;60;45;7;0.03;0.08;0.01;0.11;0;;;6;0.6;2;17;12;7.5,,,
Gerechten;Bami goreng diepvr.maaltijd;Bami Goreng diepvr.maaltijd;groentelepel punt;60;118;7;16;3;1;2;1.4;0;38;0;1.4;320;11;0.6;7;5;1.21;63;60;7;0.06;0.07;0.11;0.11;1;0.4;0.4;;1.2;2.9;13.1;13;8.5,,,
Gerechten;Bami goreng koelv maaltijd;Bami Goreng koelv meal;groentelepel punt;60;155;6;18;6;2;5;0;1.1;38;0;1.4;440;11;0.6;7;5;1.21;63;60;7;0.07;0.09;0.1;0.11;2;0.4;0.4;;1.2;3.2;14.3;11;9.5,,,
Gerechten;Bami goreng z ei;Bami goreng egg z;portie;350;165;7;26;4;1;3;1.9;0;38;0;1;147;11;0.6;7;5;1.21;63;60;7;0.11;0.05;0.11;0.11;4;0.4;0.4;6;1.3;4.8;21.5;12;9.1,,,
Gerechten;Barbecuepizza;Barbecue Pizza;stuks;100;287;12;35;11;2;9;0.1;1.9;18;0;1.4;672;21;0.7;19;4;1.07;276;150;29;0.15;0.09;0.07;0.59;0;0.3;2.1;;1.4;7;28;24;12.5,,,
Gerechten;boerenkool stamppot+worst;kale stew sausage +;groentelepel punt;110;119;4;10;7;2;4;0;1.1;5;0;2.3;345;48;0.8;14;3;0.48;310;79;115;0.1;0.11;0.19;0.14;13;0.3;0.1;16;1;0.7;9.5;8;18,,,
Gerechten;Boerenkoolstamppot mz;Kale stew mz;groentelepel punt;110;79;3;12;2;1;1;0;0.7;0;0;2.7;400;53;0.7;14;1;0.21;328;58;131;0.08;0.09;0.2;0;16;0.2;0;19;0.6;0.7;11.2;10;23.2,,,
Gerechten;Boerenkoolstamppot zz;Kale stew zz;groentelepel punt;110;79;3;12;2;1;1;0;0.7;0;0;2.7;23;53;0.7;14;1;0.21;328;58;131;0.08;0.09;0.2;0;16;0.2;0;19;0.6;0.7;11.2;10;23.2,,,
Gerechten;Chili con carne bereid;Chili con carne prepared;portie;400;124;9;10;6;2;4;0.1;1;16;0;5.8;360;27;1.7;22;4;1.43;346;138;18;0.15;0.05;0.12;0.39;10;0.2;0.4;25;1.6;1.5;8.2;16;15.7,,,
Gerechten;Chili con carne diepvries;Chili con carne frozen;pak;400;125;8;13;5;2;3;;0.7;4;0;3.8;360;27;1.3;25;4;1.32;275;111;11;0.11;0.1;0.1;0.38;8;0.2;0.5;;1.7;3.1;9.4;12;13.9,,,
Gerechten;Chili con carne koelvers;Chili con carne chilled;pak;400;107;7;14;2;1;2;0.2;0.4;20;0;3.8;520;27;1.3;25;4;1.32;275;111;11;0.1;0.11;0.15;0.38;5;0.2;0.5;;1.7;3.5;10.9;11;15.9,,,
Gerechten;Flensje;Flapjack;stuks;40;195;8;29;5;2;3;0;1.3;25;0;0.6;217;106;0.8;21;3;0.73;209;201;37;0.1;0.22;0.04;0.3;1;0.5;0.3;6;0.4;4.9;24.3;20;24.2,,,
Gerechten;Foe yong hai z rijst;Foe yong hai z rice;portie;350;128;10;2;9;3;6;0;1.7;168;0;0;431;60;1.1;19;15;0.99;131;162;110;0.11;0.26;0.09;1.22;1;1;1;18;0.7;1.5;0.7;0;15.7,,,
Gerechten;Gado gado z rijst en z ei;Rice and gado gado z z egg;portie;350;83;4;5;5;1;4;0;2.1;0;0;1.7;152;36;0.7;24;1;0.43;214;58;6;0.09;0.11;0.08;0;17;0;1.7;26;1.7;2.5;2.1;17;13.5,,,
Gerechten;Goulash;Goulash;grote lepel;50;105;10;2;6;2;4;0.1;1;28;0;0.5;298;16;1.3;19;3;1.73;274;100;52;0.12;0.08;0.18;0.71;9;0.3;0.5;6;2.2;1.5;0.5;2;9.6,,,
Gerechten;Groentemix poesta onb;Vegetable pusta IDIS;groentelepel punt;50;45;3;6;1;0;1;0;0.3;0;0;2.9;20;;1;;;;200;;157;0.1;0.1;;0;30;0;;;;0;6;12;,,,
Gerechten;Groentemix poesta gek mz;Vegetable pusta crazy mz;;;45;3;6;1;0;1;0;0.3;0;0;2.9;250;;1;;;;200;;157;0.1;0.1;;0;30;0;;;;0;6;12;,,,
Gerechten;Groentemix poesta gek zz;Vegetable pusta crazy zz;gram;1;45;3;6;1;0;1;0;0.3;0;0;2.9;20;;1;;;;200;;157;0.1;0.1;;0;30;0;;;;0;6;12;,,,
Gerechten;Groenteschotel+vlees t?rl?;Vegetable + meat up? Rl?;portie;345;70;4;7;3;1;2;;0.6;9;0;1.9;346;14;0.5;;;;280;;;0.03;0.03;0.22;;2;;;;;4.7;2.1;4;,,,
Gerechten;Hartig taart+groente/kaas/ei;Savory cake + fruit / cheese / egg;portie;335;162;8;14;8;4;4;0.2;0.9;78;0;1.1;322;145;0.7;17;6;0.97;148;147;105;0.05;0.16;0.07;0.28;5;0.5;0.9;27;0.4;1.1;13;10;17.5,,,
Gerechten;Hartig taart+groente/kaas/ei;Savory cake + fruit / cheese / egg;portie;350;247;9;11;19;9;10;1.6;1.2;87;0;1.2;338;160;0.7;16;7;1.01;143;153;138;0.11;0.23;0.08;0.32;5;0.6;0.9;23;1.1;2;9.2;9;17.2,,,
Gerechten;Kindervoed maaltijd 15 mnd;Nurture children's meal 15 months;portie;250;67;3;9;2;0;2;0;0.6;;0;1.4;90;29;0.8;16;3;0.51;217;52;;;;;;2;;;;;1.8;7.3;5;15.8,,,
Gerechten;Kindervoed maaltijd 18 mnd;Nurture children's meal 18 months;pot;300;79;3;11;3;0;2;0;1.6;;0;1.6;130;31;0.8;17;2;0.43;247;57;;;;;;;;;;;2.1;8.4;4;17.3,,,
Gerechten;Kip-kerriesaus/rijst diepvries;Kip-kerriesaus/rijst freezer;portie;400;115;5;18;3;1;2;;0.5;0;0;1.5;380;13;0.5;;;;110;56;17;0.04;0.05;0.07;;8;;;;0.6;2.7;16;7;11.9,,,
Gerechten;Kip-kerriesaus/rijst koelvers;Kip-kerriesaus/rijst chilled;portie;400;144;6;19;5;2;3;0;0.8;0;0;1.5;403;17;0.7;;6;;140;45;56;0.09;0.06;0.12;;1;;;;0.6;0.4;18.3;12;8,,,
Gerechten;Lasagna +vlees/saus gekoe;Lasagna +meat / sauce cooled;portie;400;155;9;13;8;3;5;0.3;1.4;11;0;0.4;413;83;0.8;17;4;0.7;193;83;;0.21;0.11;0.07;0.23;1;0.2;0.2;;0.8;4.7;8.2;20;9.8,,,
Gerechten;Lasagne m saus/vlees diepvr;M lasagne sauce / meat freezer;pak;400;125;5;14;6;3;3;0.2;0.5;11;0;0.4;420;83;3;17;4;0.7;193;83;;0.09;0.13;0.07;0.23;3;0.2;0.2;;0.8;5.1;8.7;12;16,,,
Gerechten;Macaroni met vlees en saus;Macaroni with meat sauce and;portie;400;155;9;13;8;3;5;0.3;1.4;11;0;0.4;413;83;0.8;17;4;0.7;193;83;;0.21;0.11;0.07;0.23;1;0.2;0.2;;0.8;4.7;8.2;20;9.8,,,
Gerechten;Macaroni+ham+kaassaus bl;Macaroni cheese + ham + bl;aardappellepel;50;101;5;9;5;2;3;0.2;0.9;15;0;0.3;450;45;2;;;;70;60;;0.02;0.04;0.04;;0;;;;0.4;1;8;8;12,,,
Gerechten;Minipizza;Mini Pizza;stuks;100;287;12;35;11;2;9;0.1;1.9;18;0;1.4;672;21;0.7;19;4;1.07;276;150;29;0.15;0.09;0.07;0.59;0;0.3;2.1;;1.4;7;28;24;12.5,,,
Gerechten;Nasi goreng blik/diepvries;Nasi goreng canned / frozen;portie;350;126;4;22;3;1;2;0.4;0.6;5;0;0.8;438;27;0.5;10;9;0.48;112;66;11;0.14;0.03;0.12;0.16;0;0.3;0.8;5;0.6;0;21.8;13;16.1,,,
Gerechten;Nasi goreng koelverse;Nasi goreng chilled;portie;350;164;5;26;5;1;4;;0.8;0;0;0.8;537;;0.7;;5;;110;;3;0.06;0.03;0.12;;0;;;;0.1;5.7;20;14;,,,
Gerechten;Nasi goreng m ei;Nasi goreng M ay;portie;350;127;7;19;3;1;2;0;0.5;26;0;0.8;537;16;0.9;15;4;0.74;58;68;1;0.1;0.07;0.1;0.16;3;0.4;0.2;5;0.8;4.2;14.8;4;10.5,,,
Gerechten;Pannenkoek;Pancake;stuks;70;195;8;29;5;2;3;0;1.3;25;0;0.6;217;106;0.8;21;3;0.73;209;201;37;0.1;0.22;0.04;0.3;1;0.5;0.3;6;0.4;4.9;24.3;20;24.2,,,
Gerechten;Pizza;Pizza;stuks;350;211;10;26;8;2;6;0.1;1.3;51;0;1.4;709;147;0.7;19;4;1.07;201;150;29;0.08;0.11;0.13;0.27;7;0.3;2.1;21;1.2;7;19.1;12;15.5,,,
Gerechten;Pizza crossabodem diepvr;Crossabodem pizza freezer;stuks;300;264;10;27;13;6;7;0.5;1.2;51;0;1.7;582;147;0.7;19;4;1.07;201;150;29;0.1;0.16;0.13;0.59;10;0.3;2.1;;1.5;5.7;21.6;14;15.2,,,
Gerechten;Pizza m groente diepvries;Frozen vegetables to pizzas;stuks;400;162;8;24;4;1;3;0;0.7;0;0;1.7;550;147;0.7;19;4;1.07;201;150;31;0.1;0.16;0.13;0.29;10;0.3;2.1;;1.5;4;20;10;20,,,
Gerechten;Pizza m vlees diepvries;M frozen meat pizza;stuks;350;202;9;25;7;3;4;0.2;0.8;51;0;1.7;517;147;0.7;19;4;1.07;180;150;31;0.09;0.11;0.13;0.59;5;0.3;2.1;17;1.5;3.5;21.9;12;17.2,,,
Gerechten;Pizza met kaas/tomaat;Pizza with cheese / tomato;stuks;350;211;10;26;8;2;6;0.1;1.3;51;0;1.4;709;147;0.7;19;4;1.07;201;150;29;0.08;0.11;0.13;0.27;7;0.3;2.1;21;1.2;7;19.1;12;15.5,,,
Gerechten;Pizza mini (diepvries);Mini pizza (frozen);diepvries;;287;12;35;11;2;9;0.1;1.9;18;0;1.4;672;21;0.7;19;4;1.07;276;150;29;0.15;0.09;0.07;0.59;0;0.3;2.1;;1.4;7;28;24;12.5,,,
Gerechten;Poesta groentemix gek mz;Pusta vegetable crazy mz;;;45;3;6;1;0;1;0;0.3;0;0;2.9;250;;1;;;;200;;157;0.1;0.1;;0;30;0;;;;0;6;12;,,,
Gerechten;Poesta groentemix gek zz;Pusta vegetable crazy zz;gram;1;45;3;6;1;0;1;0;0.3;0;0;2.9;20;;1;;;;200;;157;0.1;0.1;;0;30;0;;;;0;6;12;,,,
Gerechten;Ragout m vlees;M stew meat;aardappellepel;50;103;4;9;6;2;4;0;0.5;23;0;0.1;404;11;0.4;12;5;0.52;122;75;47;0.11;0.02;0.13;0.16;0;0.6;0;3;2.7;1.5;7.8;1;18.8,,,
Gerechten;Ratatouille mz;Ratatouille mz;groentelepel punt;50;45;3;6;1;0;1;0;0.3;0;0;2.9;250;;1;;;;200;;157;0.1;0.1;;0;30;0;;;;0;6;12;,,,
Gerechten;Ratatouille zz;Ratatouille zz;groentelepel punt;50;45;3;6;1;0;1;0;0.3;0;0;2.9;20;;1;;;;200;;157;0.1;0.1;;0;30;0;;;;0;6;12;,,,
Gerechten;Ravioli bereid;Ravioli prepared;stuks;18;120;6;12;6;2;3;0.5;0.2;10;0;0.3;500;20;1.2;10;4;0.3;90;25;;0.08;0.04;0.07;0.27;0;0.2;0.2;;0.6;2.8;9.2;14;4.4,,,
Gerechten;Rode kool puree Jachtsch;Red cabbage puree Jachtsch;portie;400;92;5;11;3;1;2;;0.5;;0;2.5;;;0.7;;;;;;;0.05;0.06;;;5;;;;;1.3;10.3;4;,,,
Gerechten;Spaghetti Bolognese;Spaghetti Bolognese;tang;50;120;6;12;6;2;3;0.5;0.2;10;0;0.3;500;20;1.2;10;4;0.3;90;25;;0.08;0.04;0.07;0.27;0;0.2;0.2;;0.6;2.8;9.2;14;4.4,,,
Gerechten;Spaghetti+kaas+tomsaus bl;Spaghetti + cheese + bl tomsaus;blik;400;79;3;10;3;2;1;0.1;0;;0;0.3;500;20;1.5;;;;90;25;;0.04;0.04;0.04;;0;;;4;0.5;1;9;8;8.3,,,
Gerechten;Stamppot andijvie mz;Endive stew mz;groentelepel punt;100;58;2;12;0;0;0;0;0;0;0;2.7;400;25;0.6;16;1;0.27;385;51;21;0.08;0.06;0.19;0.03;6;0;0.1;18;0.4;1.1;11;7;24.3,,,
Gerechten;Stamppot andijvie zz;Endive stew zz;groentelepel punt;100;58;2;12;0;0;0;0;0;0;0;2.7;11;25;0.6;16;1;0.27;385;51;21;0.08;0.06;0.19;0.03;6;0;0.1;18;0.4;1.1;11;7;24.3,,,
Gerechten;Stamppot boerenkool mz;Kale stew mz;groentelepel punt;110;79;3;12;2;1;1;0;0.7;0;0;2.7;400;53;0.7;14;1;0.21;328;58;131;0.08;0.09;0.2;0;16;0.2;0;19;0.6;0.7;11.2;10;23.2,,,
Gerechten;Stamppot boerenkool zz;Zz kale stew;groentelepel punt;110;79;3;12;2;1;1;0;0.7;0;0;2.7;23;53;0.7;14;1;0.21;328;58;131;0.08;0.09;0.2;0;16;0.2;0;19;0.6;0.7;11.2;10;23.2,,,
Gerechten;Tjap tjoi z rijst;Chop Rice tjoi z;portie;350;40;6;3;1;0;0;0;0.1;13;0;1.1;96;26;0.5;10;4;0.34;279;63;133;0.1;0.05;0.14;0.07;3;0.3;0.2;13;2.3;1.1;1.4;4;11.3,,,
Gerechten;Tortellini koelverse maaltijd;Tortellini chilled meals;pak;350;157;6;14;9;4;4;;0.7;11;0;0.4;413;83;0.8;17;4;0.7;193;83;;0.04;0.16;0.07;;0;0.2;0.2;;0.8;5.1;8.7;14;14.6,,,
Gerechten;Tortilla ongevuld;Tortilla unfilled;gram;1;195;8;29;5;2;3;0;1.3;25;0;0.6;217;106;0.8;21;3;0.73;209;201;37;0.1;0.22;0.04;0.3;1;0.5;0.3;6;0.4;4.9;24.3;20;24.2,,,
Gerechten;Watergruwel Bessola;Water Horror Bessola;dessertschaaltje;150;70;1;17;0;0;0;0;0;0;0;1;2;6;0.6;10;1;0.11;148;22;0;0.01;0.01;0.04;0;3;0;0.1;2;0.2;14;3;2;44,,,
Gerechten;wortelstamppot (+ui mz);carrot stew (onion + mz);;;53;1;9;1;1;1;0;0.4;0;0;2.3;400;18;0.4;11;0;0.18;279;42;239;0.05;0.04;0.14;0;5;0.1;0.2;10;0.4;2.1;6.8;5;32.3,,,
Gerechten;wortelstamppot (+ui zz);carrot stew (onion + zz);;;53;1;9;1;1;1;0;0.4;0;0;2.3;18;18;0.4;11;0;0.18;279;42;239;0.05;0.04;0.14;0;5;0.1;0.2;10;0.4;2.1;6.8;5;32.3,,,
Gerechten;Zuurkool rauw;Raw Sauerkraut;dessertschaaltje;90;7;1;1;0;0;0;0;0;0;0;3.2;600;62;0.3;9;3;0.12;210;30;2;0;0.04;0.13;0;25;0;0.1;9;0.2;0;0.6;4;27.3,,,
Gerechten;Zuurkoolstampp z vlees ber;Ber z Zuurkoolstampp meat;groentelepel punt;110;49;2;10;0;0;0;0;0;0;0;2.6;85;29;0.5;13;1;0.2;296;48;2;0.06;0.05;0.19;0.03;9;0;0;7;0.3;1;9;6;26.7,,,
Gerechten;Zuurkoolstamppot m worst;Sauerkraut sausage stew m;groentelepel punt;110;88;4;9;4;2;3;0;0.5;5;0;2.3;192;28;0.6;14;3;0.43;285;68;6;0.08;0.07;0.18;0.15;8;0.1;0.1;7;0.7;0.9;7.8;5;18.9,,,
Gerechten;Zuurkoolstamppot mz;Sauerkraut Stew mz;groentelepel rond;80;53;1;9;1;1;1;0;0.4;0;0;2.3;400;18;0.4;11;0;0.18;279;42;239;0.05;0.04;0.14;0;5;0.1;0.2;10;0.4;2.1;6.8;5;32.3,,,
Gerechten;Zuurkoolstamppot zz;Sauerkraut Stew zz;groentelepel rond;80;53;1;9;1;1;1;0;0.4;0;0;2.3;18;18;0.4;11;0;0.18;279;42;239;0.05;0.04;0.14;0;5;0.1;0.2;10;0.4;2.1;6.8;5;32.3,,,
Groente, fruit, peulvruchten;Aalbessen;Currants;dessertschaaltje;100;24;1;5;0;0;0;0;0;0;0;8.2;2;20;1;13;0;0.2;295;40;2;0.08;0.02;0.07;0;10;0;0.1;11;0.2;4;1;4;40,
Groente, fruit, peulvruchten;Aardbeien;Strawberries;dessertschaaltje;100;23;1;5;0;0;0;0;0;0;0;2.2;3;15;0.5;13;0;0.12;183;29;1;0.02;0.03;0.06;0;60;0;0.4;65;0.3;5.1;0;3;41.4,
Groente, fruit, peulvruchten;Aardbeien op siroop;Strawberries in syrup;dessertschaaltje;125;70;1;17;0;0;0;0;0;0;0;0.9;9;11;1.1;7;0;0.1;87;15;0;0.01;0.02;0.03;0;29;0;0.2;20;0.3;16.9;0;2;30,
Groente, fruit, peulvruchten;Aardbeienpuree;Strawberry Puree;eetlepel rond;30;80;0;20;0;0;0;0;0;0;0;0.9;2;11;1.1;;;;98;15;0;0.01;0.02;0.03;0;29;;;13;0.3;20;0;0;,
Groente, fruit, peulvruchten;Abrikozen gedroogd;Dried apricots;stuks;3;256;5;59;0;0;0;0;0;0;0;14.4;25;90;4;65;7;0.2;1.5;120;87;0.17;0.16;0.15;0;0;0;4;8;3.3;56;3;20;24,
Groente, fruit, peulvruchten;Abrikozen m schil;To peel apricots;product ;;36;1;8;0;0;0;0;0;0;0;2.1;0;20;0.8;12;0;0.1;283;20;104;0.06;0.05;0.06;0;5;0;0.5;4;0.8;8;0;4;20,
Groente, fruit, peulvruchten;Abrikozen op siroop;Apricots in syrup;dessertschaaltje;125;67;0;16;0;0;0;0;0.1;0;0;1.2;10;19;0.2;5;0;0.1;150;8;55;0.01;0.01;0.06;0;5;0;0.9;1;0.3;16.1;0;2;20,
Groente, fruit, peulvruchten;Agoemawiwiri rauw;Agoemawiwiri raw;gram;1;57;5;7;1;0;1;0;0;0;0;1.4;;200;9.9;;;;;60;0;0.18;0.35;;0;61;;;59;0.1;3;4;20;12,
